Datetime,open,high,low,close,RSI_14,MACD_12_26_9,EMA_10,EMA_50,EMA_200,SMA_10,SMA_50,SMA_200,VWMA_20,ADX_14,CCI_20,Momentum_10,Ultimate_Oscillator,Ichimoku_Base,Stochastic_K
2024-12-27 21:05:55,546.64,546.64,546.64,546.64,Neutral,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Neutral,Neutral,Sell,Neutral,Neutral,Neutral
2024-12-27 21:06:00,546.58,546.58,546.58,546.58,Neutral,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Neutral,Neutral,Sell,Neutral,Neutral,Neutral
2024-12-27 21:06:05,546.57,546.57,546.57,546.57,Neutral,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Neutral,Neutral,Sell,Neutral,Neutral,Neutral
2024-12-27 21:06:10,546.55,546.55,546.55,546.55,Neutral,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Neutral,Neutral,Sell,Neutral,Neutral,Neutral
2024-12-27 21:06:15,546.47,546.47,546.47,546.47,Neutral,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Neutral,Neutral,Sell,Neutral,Neutral,Neutral
2024-12-27 21:06:20,546.43,546.43,546.43,546.43,Neutral,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Neutral,Neutral,Sell,Neutral,Neutral,Neutral
2024-12-27 21:06:25,546.45,546.45,546.45,546.45,Neutral,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Neutral,Neutral,Sell,Neutral,Neutral,Neutral
2024-12-27 21:06:30,546.34,546.34,546.34,546.34,Neutral,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Neutral,Neutral,Sell,Neutral,Neutral,Neutral
2024-12-27 21:06:35,546.35,546.35,546.35,546.35,Neutral,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Neutral,Neutral,Sell,Neutral,Neutral,Neutral
2024-12-27 21:06:40,546.4,546.4,546.4,546.4,Neutral,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Buy,Neutral,Neutral,Sell,Neutral,Neutral,Neutral
